url,title,meal_type,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/currywurst,Currywurst,dinner,359.0,19.0g,6.0g,28.0g,23.0g,4.0g,16.0g,2.25g,"1 tbsp vegetable oil, 1 small onion finely chopped, 2 tbsp light brown soft sugar, 2 tbsp medium curry powder, 2 tsp sweet smoked paprika, 2 tsp onion powder, 2 tsp balsamic vinegar, 500ml passata, 100ml apple juice, 250ml beef stock, 1 tbsp English mustard, 2 tbsp Worcestershire sauce, 2 tbsp tomato ketchup, ½ tsp bicarbonate of soda, 4 bratwurst sausages"
https://www.bbcgoodfood.com/recipes/dippy-eggs-marmite-soldiers,Dippy Eggs Marmite Soldiers,breakfast,372.0,21.0g,8.0g,31.0g,2.0g,4.0g,17.0g,1.09g,"2 eggs, 4 slices wholemeal bread, a knob of butter, Marmite, mixed seeds"
https://www.bbcgoodfood.com/recipes/easiest-ever-paella,Easiest Ever Paella,quick and easy,593.0,15.0g,5.0g,81.0g,9.0g,7.0g,30.0g,2.97g,"1 tbsp olive oil, 1 leek or onion, sliced, 110g pack chorizo sausage, chopped, 1 tsp turmeric, 300g long grain rice, 1l hot fish or chicken stock, 200g frozen peas, 400g frozen seafood mix defrosted"
https://www.bbcgoodfood.com/recipes/easy-banana-pancakes,Easy Banana Pancakes,breakfast,484.0,7.0g,3.0g,87.0g,19.0g,5.0g,15.0g,1.21g,"350g self-raising flour, 1 tsp baking powder, 2 very ripe bananas, 2 medium eggs, 1 tsp vanilla extract, 250ml whole milk, butter for frying"
https://www.bbcgoodfood.com/recipes/easy-breakfast-burritos,Easy Breakfast Burritos,breakfast,577.0,31.0g,10.0g,57.0g,12.0g,8.0g,31.0g,2.8g,"1 tbsp olive oil, 4 red peppers finely sliced, 250g chestnut mushrooms sliced, 8 spicy or herby sausages"
https://www.bbcgoodfood.com/recipes/easy-cheesy-mustard-toad-hole-broccoli,Easy Cheesy Mustard Toad Hole Broccoli,dinner,653.0,36.0g,12.0g,51.0g,10.0g,8.0g,29.0g,2.4g,"140g plain flour, 3 large eggs, 300ml milk, 2 tsp wholegrain mustard plus 1 tbsp, 3 tbsp vegetable oil, 6 Cumberland sausages, 100g long stem broccoli, 1 leek cut into thick slices, 50g mature cheddar grated"
https://www.bbcgoodfood.com/recipes/easy-chicken-curry,Easy Chicken Curry,dinner,354.0,23.0g,4.0g,10.0g,8.0g,3.0g,24.0g,0.6g,"2 tbsp sunflower oil, 1 onion thinly sliced, 2 garlic cloves crushed, thumb-sized piece of ginger grated, 6 chicken thighs boneless and skinless, 3 tbsp medium spice paste (tikka works well), 400g can chopped tomatoes, 100g Greek yogurt, 1 small bunch of coriander leaves chopped, 50g ground almonds, naan breads or cooked basmati rice, to serve"
https://www.bbcgoodfood.com/recipes/easy-egg-muffins,Easy Egg Muffins,breakfast,229.0,16.0g,5.0g,2.0g,2.0g,2.0g,17.0g,0.6g,"1 tbsp oil, 150g broccoli finely chopped, 1 red pepper finely chopped, 2 spring onions sliced, 6 large eggs, 1 tbsp milk, large pinch of smoked paprika, 50g cheddar or gruyère, grated, small handful of chives chopped (optional)"
https://www.bbcgoodfood.com/recipes/easy-pancakes-two-ways,Easy Pancakes Two Ways,breakfast,161.0,6.0g,2.0g,19.0g,3.0g,1.0g,7.0g,0.2g,"175g plain flour, 3 large eggs, 450ml milk, sunflower oil for frying"
https://www.bbcgoodfood.com/recipes/easy-protein-pancakes,Easy Protein Pancakes,breakfast,437.0,16.0g,4.0g,39.0g,9.0g,4.0g,31.0g,1.4g,"1 banana, 75g oats, 3 large eggs, 2 tbsp milk (dairy, soya, oat or nut milks all work), 1 tbsp baking powder, pinch of cinnamon, 2 tbsp protein powder (whey, pea or whatever your preference), coconut oil or a flavourless oil, for frying, nut butter maple syrup and berries or sliced banana to serve"
https://www.bbcgoodfood.com/recipes/easy-scale-cheesy-fish-pie-kale,Easy Scale Cheesy Fish Pie Kale,dinner,634.0,37.0g,20.0g,31.0g,8.0g,4.0g,42.0g,1.7g,"200g Maris Piper potatoes cut into chunks, 1 tbsp butter, 1 tbsp flour, 200ml whole milk plus 1 tbsp, ½ tsp Dijon mustard, 100g cheddar gruyère or emmental, grated, 200g fish pie mix (we used a mix of salmon, haddock and prawns), 50g frozen peas, 50g shredded kale, 1 spring onion finely sliced, 1 tbsp parmesan finely grated, green salad to serve (optional)"
https://www.bbcgoodfood.com/recipes/easy-spanish-chicken,Easy Spanish Chicken,batch cooking,567.0,37.0g,10.0g,19.0g,10.0g,9.0g,35.0g,2.74g,"2 tbsp extra virgin olive oil, 1 onion thinly sliced, 150g chorizo cut into rings, 1 red pepper deseeded and sliced into strips, 1 yellow pepper deseeded and sliced into strips, 1 tsp sweet smoked paprika, 4 garlic cloves finely chopped, 400g can chopped tomatoes, 150g pitted green olives, 400g can butter beans drained and rinsed, 8 bone-in, skin-on chicken thighs, small handful of flat-leaf parsley chopped"
https://www.bbcgoodfood.com/recipes/easy-sweet-sour-chicken,Easy Sweet Sour Chicken,quick and easy,305.0,2.0g,0.0g,38.0g,23.0g,2.0g,36.0g,1.63g,"9 tbsp tomato ketchup, 3 tbsp malt vinegar, 4 tbsp dark muscovado sugar, 2 garlic cloves crushed, 4 skinless and boneless chicken breast cut into chunks, 1 small onion roughly chopped, 2 red peppers seeded and cut into chunks, 227g can pineapple pieces in juice, drained, 100g sugar snap peas roughly sliced, handful salted, roasted cashew nuts optional"
https://www.bbcgoodfood.com/recipes/easy-teriyaki-chicken,Easy Teriyaki Chicken,quick and easy,243.0,14.0g,3.0g,11.0g,11.0g,1.0g,18.0g,1.23g,"2 tbsp toasted sesame oil, 6 skinless and boneless chicken thighs sliced, 2 large garlic cloves crushed, 1 thumb-sized piece ginger grated, 50g runny honey, 30ml light soy sauce, 1 tbsp rice wine vinegar, 1 tbsp sesame seeds to serve, 4 spring onions shredded, to serve, sticky rice to serve, steamed bok choi or spring greens, to serve"
https://www.bbcgoodfood.com/recipes/easy-thai-prawn-curry,Easy Thai Prawn Curry,quick and easy,156.0,8.0g,4.0g,7.0g,6.0g,2.0g,13.0g,1.19g,"1 tbsp vegetable oil, 1 onion chopped, 1 tsp fresh root ginger, 1-2 tsp Thai red curry paste (we used Sharwood's), 400g can chopped tomatoes, 50g sachet coconut cream, 400g raw frozen prawns, coriander chopped, to serve (optional)"
https://www.bbcgoodfood.com/recipes/easy-vegan-pancakes,Easy Vegan Pancakes,breakfast,90.0,1.0g,0.2g,16.0g,2.0g,1.0g,3.0g,0.23g,"300g/12oz self-raising flour, 1 tsp baking powder, 1 tbsp sugar (any kind), 1 tbsp vanilla extract, 400ml/14fl oz plant-based milk (such as oat, almond or soya), 1 tbsp vegetable oil for cooking"
https://www.bbcgoodfood.com/recipes/easy-vegetable-lasagne,Easy Vegetable Lasagne,dinner,462.0,24.0g,10.0g,43.0g,15.0g,7.0g,12.0g,0.4g,"3 red peppers cut into large chunks, 2 aubergines cut into ½ cm thick slices, 8 tbsp olive oil plus extra for the dish, 300g lasagne sheets, 125g mozzarella, handful cherry tomatoes halved"
https://www.bbcgoodfood.com/recipes/easy-venison-pie,Easy Venison Pie,dinner,569.0,28.0g,11.0g,32.0g,4.0g,4.0g,47.0g,2.1g,"2½ tbsp sunflower oil, 1kg diced venison, 100g smoked bacon lardons pancetta or chopped smoked streaky bacon, 2 onions roughly chopped, 2 bay leaves, 200g chestnut mushrooms quartered, or baby chestnut mushrooms, halved, 3 tbsp plain flour, 1 tbsp ketchup, 150ml red wine or dark ale (optional), 2 beef stock cubes mixed with 600ml boiling water, 1 egg yolk beaten (freeze the white for another recipe), 375g sheet of ready-rolled puff pastry"
https://www.bbcgoodfood.com/recipes/egg-hole-smoked-salmon-avocado-toastie,Egg Hole Smoked Salmon Avocado Toastie,breakfast,415.0,24.0g,7.0g,23.0g,2.0g,5.0g,28.0g,3.6g,"knob of butter, 2 slices  white bread, ½ ripe avocado, ½ lemon plus a wedge to serve, handful watercress, 1 large egg, few slices smoked salmon"
https://www.bbcgoodfood.com/recipes/eggs-benedict-smoked-salmon-chives,Eggs Benedict Smoked Salmon Chives,breakfast,564.0,44.0g,23.0g,16.0g,1.0g,1.0g,27.0g,3.1g,"4 eggs, 2 tbsp white wine vinegar, 2 English muffins halved, a little butter for spreading, 8 slices smoked salmon, chopped chives to serve"
https://www.bbcgoodfood.com/recipes/eggs-florentine,Eggs Florentine,breakfast,768.0,60.0g,32.0g,30.0g,3.0g,3.0g,26.0g,1.27g,"15g butter, 200g fresh spinach, grating of nutmeg, ½ tsp white wine vinegar, 4 fresh eggs, 2 English muffins split"
https://www.bbcgoodfood.com/recipes/eggy-cheese-crumpets,Eggy Cheese Crumpets,breakfast,545.0,30.0g,9.0g,39.0g,6.0g,6.0g,26.0g,2.8g,"3 eggs, 50ml milk, 6 crumpets, 250g cherry tomatoes halved, drizzle of vegetable oil, 40g cheddar grated, 2 small ripe avocados sliced"
https://www.bbcgoodfood.com/recipes/elote-inspired-pasta-salad,Elote Inspired Pasta Salad,dinner,449.0,27.0g,6.0g,38.0g,9.0g,5.0g,12.0g,1.9g,"200g pasta (we used spirali), 3 tsp olive oil, 2 x 325g cans sweetcorn drained, or around 500g sweetcorn (see tip, below), 6 spring onions finely sliced, large bunch of coriander (about 40g), finely chopped, plus extra to serve, 200g feta (vegetarian, if needed), 130g mayonnaise, 3 limes juiced, 2 tsp chilli powder plus extra to serve"
https://www.bbcgoodfood.com/recipes/english-muffins,English Muffins,breakfast,215.0,2.0g,1.0g,41.0g,2.0g,2.0g,8.0g,0.65g,"400g strong white flour plus extra for dusting, 1 tsp caster sugar, 5g fast-action yeast, 250ml whole milk warmed, fine semolina for dusting"
https://www.bbcgoodfood.com/recipes/faggots-onion-gravy,Faggots Onion Gravy,batch cooking,208.0,5.0g,1.0g,14.0g,3.0g,2.0g,26.0g,1.2g,"little oil for the tin, 170g pack sage & onion stuffing mix (we used Paxo), 500g pack diced pork shoulder, 300g pig liver, ½ tsp ground mace"
https://www.bbcgoodfood.com/recipes/fajita-chicken-rice-bowl-with-burnt-lime,Fajita Chicken Rice Bowl With Burnt Lime,dinner,321.0,6.0g,1.0g,31.0g,9.0g,10.0g,31.0g,0.2g,"2 large chicken breasts, 2 peppers sliced, 2 red onions sliced, 200g baby corn, 3 tsp chipotle chilli paste, 1 lime zested, then halved, 2 tsp vegetable oil, 400g can black beans drained, 15g coriander roughly chopped, 400g cooked brown rice, 4 tbsp salsa to serve"
