url,title,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/quick-pizza-dough-2,Quick Pizza Dough 2,656,2.0g,1.0g,133.0g,2.0g,6.0g,23g,0.5g,"350g strong white bread flour plus extra for dusting, 1 sachet fast-action dried yeast, ½ tsp caster sugar, pizza toppings of your choice"
https://www.bbcgoodfood.com/recipes/salmon-broccoli-potato-bake,Salmon Broccoli Potato Bake,613,37.0g,5.0g,35.0g,4.0g,5.0g,37g,0.63g,"750g medium potato cut into wedges, 1 head broccoli trimmed and broken into florets, 200ml tub   crème fraîche, 2 tbsp wholegrain mustard, 2 large or 4 small  salmon fillets cut into large pieces, handful grated parmesan"
https://www.bbcgoodfood.com/recipes/salmon-egg-fried-rice,Salmon Egg Fried Rice,432,23.0g,4.0g,24.0g,4.0g,3.0g,30g,1.7g,"thumb-sized piece ginger grated, 1-2 garlic cloves grated, 2 tbsp low-salt soy sauce, ½ tbsp rice wine or sherry vinegar, 2 tbsp vegetable oil, 1 large carrot chopped into chunks, 175g pack baby corn & mangetout or sugar snap peas, chopped, 2 skinless smoked salmon fillets, 250g pouch cooked brown basmati rice, 2 eggs, hot sauce to serve"
https://www.bbcgoodfood.com/recipes/salmon-fish-finger-sandwich,Salmon Fish Finger Sandwich,741,35.0g,6.0g,61.0g,4.0g,4.0g,44g,1.9g,"3 tbsp plain flour, 1 large egg beaten, 100g dried breadcrumbs (we used panko), 4 skinless and boneless salmon fillets sliced in half lengthways, 2-3 tbsp vegetable oil (optional), 1 Little Gem lettuce leaves separated, 4 sub rolls split"
https://www.bbcgoodfood.com/recipes/sausage-leek-fennel-pasta,Sausage Leek Fennel Pasta,600,27.0g,8.0g,64.0g,6.0g,4.0g,23g,2.0g,"1 tbsp olive oil, 6 good-quality pork sausages, 3 leeks thinly sliced, 400g fusilli, 2 garlic cloves crushed, 1 tsp fennel seeds, 2 tsp wholegrain mustard, zest 0.5 lemon, grated parmesan to serve"
https://www.bbcgoodfood.com/recipes/secret-green-sauce-spaghetti,Secret Green Sauce Spaghetti,549,18.0g,8.0g,74.0g,6.0g,6.0g,21g,0.7g,"400g spaghetti, 100g bag baby spinach, 140g frozen pea, small bunch basil leaves picked, a few reserved to serve, 3 tbsp green pesto, 150ml pot  single cream, 50g parmesan (or vegetarian alternative), grated, plus a little extra to serve"
https://www.bbcgoodfood.com/recipes/simple-stir-fry,Simple Stir Fry,193,4.0g,0.4g,23.0g,5.0g,5.0g,14g,1.5g,"500g vegetables such as carrots, baby corn, broccoli, courgettes, red peppers and cabbage or pak choi, 1 tbsp rapeseed oil, 1 garlic clove sliced, 1cm fresh ginger grated, 1½ tbsp reduced salt soy sauce, 2 tbsp sweet chilli sauce (optional), 200g cooked prawns salmon (flaked) or chicken breast (shredded), 200g egg noodles cooked"
https://www.bbcgoodfood.com/recipes/singapore-noodles,Singapore Noodles,288,7.0g,1.0g,47.0g,6.0g,6.0g,7g,0.9g,"200g vermicelli rice noodles, 1 tbsp mild curry powder, ¼ tsp turmeric, 1 tsp caster sugar, 1 tbsp sesame oil, 2½ tbsp low-salt soy sauce, 1 tbsp sunflower or vegetable oil, 1 onion sliced, 1 pepper sliced (we used ½ green and ½ orange), 200g beansprouts, 1 red chilli sliced (optional)"
https://www.bbcgoodfood.com/recipes/smash-burgers,Smash Burgers,666,39.0g,18.0g,41.0g,3.0g,2.0g,37g,2.14g,"4 burger buns sesame topped or brioche, whichever you prefer, 1 tbsp/15ml sunflower oil, 500g/1lb 2oz steak mince 15-20% fat is good, 4 slices mild cheddar or burger cheese, 1 red onion finely sliced, handfuls of iceberg lettuce finely shredded, 2 tomatoes sliced, 1 large gherkin sliced lengthways, mayonnaise ketchup and American mustard, or your preferred sauces, to serve"
https://www.bbcgoodfood.com/recipes/southern-fried-chicken-tacos,Southern Fried Chicken Tacos,657,28.0g,8.0g,65.0g,8.0g,6.0g,33g,1.5g,"2 x 305g packs southern fried chicken goujons, 2 tbsp chives finely chopped, 150g soured cream, 8 small  soft corn tortillas or 12 mini flour tortillas, 3 Little Gem lettuces cut into wedges, 4 spring onions very finely sliced, buffalo hot sauce to serve"
